WetlandName,SurvYear,WetlandArea,SurveyArea,PercentFilled,SumOfCount,SurveyRecords,SpeciesRichness,SumOfNests,SumOfBroods,LatitudeDec,LongitudeDec
Goulburn River,2011,100.0,100.0,100.0,520,23,13,0,0,-36.3825,145.3456
Great Cumbung Swamp,2011,133.0,8.0,6.02,58229,327,36,0,0,-34.22524,144.009757
Gunbower-Koondrook-Perricoota,2011,92849.0,930.47,1.0,25806,19,15,0,0,-35.789445,144.4386
Gwydir Wetlands,2011,532.7,177.68,33.35,25898,225,32,0,12,-29.429528,149.362975
Hattah Lakes,2011,2116.0,2096.0,99.05,2391,57,22,0,8,-34.750477,142.392729
Kerang wetlands,2011,6154.25,5796.75,94.19,60629,244,37,1410,8,-35.640334,143.788053
Lake Brewster,2011,11101.0,8660.0,78.01,57955,105,31,8399,0,-33.495555,145.995275
Lake Buloke,2011,4354.0,4354.0,100.0,3222,42,24,16,0,-36.26778,142.9472
Lake Cargelligo,2011,2052.0,2052.0,100.0,4903,95,26,282,2,-33.2893,146.44095
Lake Cowal,2011,28178.0,28178.0,100.0,40263,123,38,2065,11,-33.57935,147.441867
Lake Hindmarsh,2011,13501.0,13501.0,100.0,2488,40,26,0,0,-35.97805,141.905
Lindsay-Walpolla-Chowilla,2011,1380.0,1272.1,92.18,36895,486,35,145,5,-34.14911,141.024696
Lowbidgee floodplain,2011,5441.8,3857.7,70.89,118362,725,39,4429,1,-34.409923,143.874669
Macquarie Marshes,2011,52010.0,10402.0,20.0,79660,26,26,0,0,-30.64667,147.5747
Menindee lakes,2011,39336.0,39331.05,99.99,29084,313,33,833,4,-32.407066,142.361362
Narran lakes,2011,6569.0,5255.25,80.0,66717,187,36,5926,6,-29.79361,147.5244
Paroo overflow lakes complex,2011,13004.0,10843.2,83.38,68919,289,34,1046,18,-30.598642,143.817622
Renmark,2011,20.0,18.0,90.0,338,10,10,0,0,-34.31889,140.6672
River Murray Channel,2011,517.9,494.8,95.54,680,57,22,0,0,-35.475695,138.568525
Balonne,2012,5.0,4.0,80.0,20,4,4,0,0,-28.14389,148.5175
Banar Lake,2012,591.0,472.8,80.0,2064,19,12,0,0,-33.25917,147.0722
Barmah-Millewa,2012,949.0,949.0,100.0,6986,156,22,1965,35,-35.917037,144.968067
Bogandillon Swamp,2012,3877.0,1938.5,50.0,7267,40,23,0,0,-33.29861,147.2511
Booligal wetlands,2012,933.3,746.93,80.03,35191,380,34,24,0,-33.909144,144.552525
"Coorong, Lower Lakes and Murray Mouth",2012,122280.9,130527.45,98.3,336384,262,42,11399,157,-35.720692,139.29325
Currawinya Lakes,2012,8258.0,7096.4,85.93,181122,129,35,0,0,-28.80861,144.466
Goulburn River,2012,100.0,80.0,80.0,458,23,12,0,0,-36.3825,145.3456
Great Cumbung Swamp,2012,66.5,66.5,100.0,59397,237,33,14,0,-34.216805,144.0225
Gwydir Wetlands,2012,277.0,51.2,18.48,11671,199,25,0,2,-29.458697,149.297523
Hattah Lakes,2012,52.3,41.84,80.0,1886,53,17,0,0,-34.75236,142.39165
Kerang wetlands,2012,4665.34,4082.83,87.51,118988,262,37,1956,0,-35.652755,143.784483
Lake Brewster,2012,6214.0,4971.2,80.0,43797,54,32,2361,0,-33.466805,145.9993
Lake Buloke,2012,4354.0,3483.2,80.0,79449,35,19,0,0,-36.26778,142.9472
Lake Cargelligo,2012,1021.0,1021.0,100.0,1064,33,20,11,0,-33.30305,146.4325
Lake Cowal,2012,19089.0,19089.0,100.0,10361,86,31,19,0,-33.56611,147.43725
Lake Hindmarsh,2012,13501.0,13501.0,100.0,21625,40,22,0,0,-35.97805,141.905
Lindsay-Walpolla-Chowilla,2012,806.0,767.6,95.24,49913,628,37,409,0,-34.099521,141.195591
Lowbidgee floodplain,2012,5050.0,2446.55,48.45,211189,657,37,7441,30,-34.534364,143.847481
Macquarie Marshes,2012,52010.0,15603.0,30.0,82041,24,24,0,0,-30.64667,147.5747
Menindee lakes,2012,41754.51,41669.81,99.8,42095,282,29,0,0,-32.365018,142.360862
Narran lakes,2012,5476.0,4883.9,89.19,38449,139,37,0,0,-29.76489,147.46
Paroo overflow lakes complex,2012,12779.85,12242.85,95.8,69996,294,33,0,0,-30.590972,143.80195
River Murray Channel,2012,667.9,667.9,100.0,615,41,16,0,0,-35.51939,139.69916
ACT,2013,917.0,917.0,0.0,0,2,1,0,0,-35.51889,148.7775
Banar Lake,2013,591.0,591.0,0.0,0,1,1,0,0,-33.25917,147.0722
Barmah-Millewa,2013,2241.0,2241.0,96.61,3785,125,24,354,20,-35.894058,145.021638
Bogandillon Swamp,2013,3983.0,3983.0,0.0,0,1,1,0,0,-33.30556,147.2706
Booligal wetlands,2013,2383.5,2636.5,23.77,6061,76,16,0,2,-33.930088,144.534891
Coolmunda Dam,2013,1640.0,1640.0,100.0,2819,24,24,0,2,-28.42861,151.2258
"Coorong, Lower Lakes and Murray Mouth",2013,82380.5,104290.0,99.67,161379,316,46,7174,171,-35.929826,139.4259
Corop wetlands complex,2013,1626.0,1626.0,88.27,1645,27,16,0,0,-36.488224,144.8398
Currawinya Lakes,2013,7641.0,7641.0,83.64,63006,61,28,0,0,-28.726477,144.272133
Darling Anabranch,2013,62984.0,62984.0,24.84,29075,236,28,0,0,-33.003489,142.306472
Fivebough Swamp,2013,283.0,283.0,29.96,3857,22,16,0,0,-34.514585,146.39775
Great Cumbung Swamp,2013,3718.0,3718.0,19.79,7410,49,23,0,0,-34.302588,144.040287
Gunbower-Koondrook-Perricoota,2013,411.0,411.0,100.0,36,6,4,0,0,-35.96444,144.4986
Gwydir Wetlands,2013,1199.9,1046.7,7.45,4557,233,29,0,0,-29.390524,149.411462
Hattah Lakes,2013,305.7,1101.0,0.0,249,16,7,0,0,-34.728518,142.36565
Kerang wetlands,2013,5938.63,6510.31,49.19,15482,118,24,2612,0,-35.650678,143.788781
Lake Albacutya,2013,5741.0,5741.0,0.0,0,1,1,0,0,-35.77444,141.9911
Lake Brewster,2013,6214.0,6214.0,85.71,18942,63,26,0,0,-33.466805,145.9993
Lake Buloke,2013,4354.0,4354.0,0.0,0,1,1,0,0,-36.26778,142.9472
Lake Cargelligo,2013,1021.0,1021.0,100.0,414,21,12,0,0,-33.30305,146.4325
Lake Cowal,2013,29673.0,23960.0,63.24,15577,67,31,667,0,-33.58861,147.442967
Lake Hindmarsh,2013,13501.0,13501.0,90.0,38479,35,21,0,0,-36.12111,141.9222
Lake Mokoan,2013,7177.0,7177.0,30.0,700,14,14,0,0,-36.47944,146.0703
Lake Tyrrell,2013,15396.0,17095.0,10.0,0,2,1,0,0,-35.41278,142.8764
Lever Swamp,2013,20.0,20.0,100.0,2441,7,7,0,0,-36.6095,140.32683
Lindsay-Walpolla-Chowilla,2013,1925.0,11790.0,51.07,33146,513,36,477,0,-34.122388,141.070283
Lowbidgee floodplain,2013,2921.3,2958.3,77.56,17776,114,27,8,0,-34.636999,143.849933
Menindee lakes,2013,41014.51,41576.51,96.1,14167,225,28,0,0,-32.393579,142.346222
Narran lakes,2013,5898.2,5898.2,68.41,28752,53,27,0,0,-29.76486,147.43175
Paroo overflow lakes complex,2013,13002.85,12096.8,44.01,155583,87,27,0,0,-30.595031,143.818144
River Murray Channel,2013,897.0,821.0,98.33,783,49,18,0,0,-35.29889,143.04166
Tallywalka System,2013,4914.0,4914.0,70.73,9168,130,25,0,0,-32.532687,143.33375
